"Imported Companies","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Company Headcount Growth","Find most recent news","Find Technology Stack","Find Tech Stack","Tech Stack","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings via LinkedIn","Job Openings"
,,"Foresight Software Solutions Pvt Ltd","Foresight Software Solutions PVT LTD, is a software Reseller of repute focused on the Security Domain.

Operational since 2000, Foresight has the required domain expertise and the infrastructure to ensure a smooth deployment and post-deployment support of critical software solutions.","Data Security Software Products","11-50 employees","Privately Held","Bengaluru, Karnataka","India","foresightho.com","https://www.linkedin.com/company/foresight-software-solutions-pvt-ltd",,,,,,,,,
,,"AccelerateAI"," Data Science and AI Consulting for SMB and High growth Start-ups 
 Advisory Service in setting up CoE in Data Science & Analytics in India
 AI & ML training programs for Business Leaders and IT Professionals
 Industry focused data science training in Retail, E-Commerce, Manufacturing, and Supply Chain.

Reach out at Sachin@accelerateai.in or acceler8.ai@gmail.com.","Data Infrastructure and Analytics","2-10 employees","Partnership","Bengaluru, Karnataka","India",,"https://www.linkedin.com/company/accelerate-ai",,,,,,,,,
,,"PURE MACHINE DESIGN","Mechanical Engineering firm.
At PURE MACHINE DESIGN we provide a full proof solution for Industrial Automation, SPM's and product design. Converting ideas to real life products/machines is our core strength, not just designing but even proving the design with the help of analysis. Wide knowledge of manufacturing processes, prototyping and forming processes help us provide our clients the best and economical solutions for their products.
We expertise in Robotic welding fixture, Pick and place robots, Machining jigs, Waste management machines, food industry, material handling equipment, and packaging industry.
We also provide design improvisation solutions, which increases the efficiency, reduces manufacturing cost and adds aesthetic and ergonomic features.","Mechanical or Industrial Engineering","11-50 employees","Self Owned","Pune, Maharashtra","India","puremachinedesign.com","https://www.linkedin.com/company/pure-machine-design",,,,,,,,,
,,"Datalaya","At Datalaya, we help businesses make sense of their data. We process and analyze information to generate actionable insights for our clients. Our data-driven services include: data visualization, data cleansing, exploratory analytics, predictive modeling and more","Data Infrastructure and Analytics","11-50 employees","Privately Held","Bengaluru South, Karnataka","India","datalaya.studio","https://www.linkedin.com/company/datalaya",,,,,,,,,
,,"Flexer Rubbers Private Limited - India","FLEXER RUBBERS (P) LIMITED , established in 1990 , is a manufacturer  of - 
V Belts , Conveyor Belts , Couplings &  V - Pulleys ; Conveyor Spares.
Flexer products are widely used by core Industrial sectors like , Steel industries , Cement plants , Power plants , Mining , Stone Crushers , Engineering industries , Agro industries , OEM's , Rice mills , Flour Mills , Textiles , etc.


We introduce ourselves as one of the pioneer manufacturers of following products :-


1

V Belts  ( IS 2494 ,  BS 3790),  


2. Conveyor Belts (as per IS 1891) , 


3. 

 Couplings (Gear Coupling /Grid /Pin Bush /Tyre /Star type) -  as per our standard Catalog or as per customers drawings/specifications).


4

. V-Pulleys & V-Pulleys with easy grip/taper lock Bush ( as per IS 3142).


5. Belt Conveyor System & its accessories/ spares , like Conveyor Drum Pulleys , Idlers/ Rollers with frame & Holding Bracket , Main Stringer , Stringer short  Support , Pulley Frames, etc from 400 mm to 2000 mm Belt width , as per customers specification or IS standrds ; used in  Thermal Power Plants , Collieries , Steel Plants , Cement plants , Crushers etc.





---------------------------------------------------------------------------------------------------------------------------------

Our factory is located at- Raghunathpur, Hooghly (WB), with approx 60,000 sq ft of area, with complete plant & machineries, R&D facilities and infrastructure.
            ·         Over 25 years of expertise in the manufacturing of industrial Belts ,couplings .
·         Power transmission solution provider for any application on anytime.

  Flexer products are widely used by major industries like Steel, Power, Collieries, Mining, Fertiliser, OEMs, Cement, Engineering, Oil Exploration & Refineries, Tea Industries, Sugar Mills, Textiles & Crushers etc.","Mechanical or Industrial Engineering","51-200 employees","Privately Held","Kolkata, West Bengal","India","flexertransmission.com","https://www.linkedin.com/company/flexer-rubbers-private-limited---india",,,,,,,,,
,,"Metricx Analytics","""Transforming data into actionable intelligence""","Data Infrastructure and Analytics","51-200 employees","Privately Held","Pune","India","metricx.co","https://www.linkedin.com/company/ametricx",,,,,,,,,
,,"Carmac Technologies Pvt. Ltd.","We are a group of Mechanical and Industrial engineers who can offer you solutions to your productivity needs in the Welding and Heavy Material handling domain. We offer unique and bespoke products/solutions to your shop floor challenges.","Mechanical or Industrial Engineering","11-50 employees","Privately Held","Pune","India","carmac.in","https://www.linkedin.com/company/carmac-technologies-pvt.-ltd.",,,,,,,,,
,,"Saa's","We Specialize In Tough Situations","Mechanical or Industrial Engineering","2-10 employees","Privately Held","Pune, Maharashtra","India",,"https://www.linkedin.com/company/saas.corp",,,,,,,,,
,,"Shweta Engineering Works","Incepted in the year of 2003, Shweta Engineering Works has been one of the efficient manufacturers of Coating Lamination Machine, Core Cutting Machine, Rotogravure Printing Machine, Slitting Machine, Rewinding Machine etc","Mechanical or Industrial Engineering","51-200 employees",,"Mumbai, Maharashtra","India","indiamart.com","https://www.linkedin.com/company/shweta-engineering-works",,,,,,,,,
,,"Viz Labs","We create softwares which help businesses analyse their data","Data Infrastructure and Analytics","2-10 employees","Self Owned","Gurgaon, Haryana","India",,"https://www.linkedin.com/company/viz-labs",,,,,,,,,
,,"Delta Corporation","At Delta-Corporation, we are dedicated to delivering excellence in every product we offer. With a strong commitment to quality and innovation, we have become a trusted name in the industry, specializing in the distribution of top-tier products from industry leaders such as KSB, Pentair Water, and Suntec Heat Pumps.

*Our Mission:* At the heart of our mission lies the goal to provide our customers with superior solutions for their fluid handling, water treatment, and renewable energy needs. We strive to be the go-to source for high-quality, reliable, and sustainable products that meet the diverse demands of our clients.
Why Choose Delta-Corporation?
	Quality Assurance: We prioritize quality and reliability in every product we offer. Our team rigorously selects and tests each product to ensure it meets the highest industry standards.
	Expertise: With years of experience in the industry, our knowledgeable team can provide you with expert advice and guidance to help you make informed decisions about your fluid handling, water treatment, and heating needs.
	Customer-Centric Approach: At Delta-Corporation, customer satisfaction is our top priority. We are dedicated to providing personalized service and support to meet your unique requirements.
	Sustainability: We are committed to promoting sustainable practices and products. Our partnership with Suntec Heat Pumps reflects our dedication to reducing energy consumption and minimizing environmental impact.
	Reliability: When you choose Delta-Corporation, you can count on us for reliable products and dependable service. We understand the importance of keeping your operations running smoothly.","Mechanical or Industrial Engineering","2-10 employees","Partnership","Jaipur, Rajasthan","India","deltacorporation.co.in","https://www.linkedin.com/company/deltacorporation1",,,,,,,,,
